peak_id,peak_name,elevation_ft,summit_lat,summit_lon,nearest_city,trailhead_name,trailhead_lat,trailhead_lon
1,Wulsten Baldy,12766,38.2458876,-105.7390608,,,,
2,Flattop Mountain,12106,40.8046876,-106.6353691,,,,
3,Mount Zirkel,12011,40.831234,-106.6632231,,,,
4,Big Agnes Mountain,11857,40.8302381,-106.6924559,,,,
5,Lost Ranger Peak,11890,40.6904091,-106.6723388,,,,
6,Mount Ethel,11900,40.6480401,-106.6801592,,,,
7,Parkview Mountain,12195,40.3301241,-106.1361882,,,,
8,Lost Lakes Peaks,11860,40.0514809,-107.2261661,,,,
9,Orno Peak,12047,40.0821992,-107.0969209,,,,
10,Flat Top Mountain,12320,40.0146181,-107.0832447,,,,
11,Big Marvine Peak,11841,39.9503698,-107.3406858,,,,
12,W Mountain,11883,39.8741445,-107.1372631,,,,
13,Dome Peak,12162,39.9896686,-107.0488232,,,,
14,Mount Sopris,12923,39.2630494,-107.1758228,,,,
15,Capitol Peak,14138,39.1501588,-107.0827488,,,,
16,Clark Peak,13435,39.1522363,-107.0611245,,,,
17,Mount Daly,13182,39.1721027,-107.0686259,,,,
18,Haystack Mountain,12182,39.1940517,-107.0654629,,,,
19,Chair Mountain,12602,39.0579044,-107.2820262,,,,
20,Ragged Peak,12484,39.036516,-107.2817257,,,,
21,Mount Daly,12333,39.1033521,-107.1502013,,,,
22,Ragged Mountain,12018,39.0203445,-107.2355301,,,,
23,Whitehouse Mountain,11834,39.0513717,-107.1542044,,,,
24,Snowmass Peak,13389,39.1109983,-107.0559489,,,,
25,Hagerman Peak,13665,39.1118211,-107.0600384,,,,
26,Snowmass Mountain,14105,39.1186541,-107.0664035,,,,
27,Mount Richey,12349,39.1174648,-107.1210184,,,,
28,Meadow Mountain,12694,39.1000652,-107.1009143,,,,
29,Arkansas Mountain,11804,39.0844046,-107.1114044,,,,
30,Bear Mountain,12162,39.0350779,-107.1116392,,,,
31,Treasury Mountain,13107,39.0142783,-107.0989662,,,,
32,Crystal Peak,12477,39.0358445,-107.087899,,,,
33,Galena Mountain,12480,39.0224949,-107.0764896,,,,
34,Mount Bellview,12441,39.0161286,-107.0165305,,,,
35,Dora Mountain,12254,39.7833139,-106.3023046,,,,
36,Mount Powell,13481,39.7599022,-106.3406507,,,,
37,Eagles Nest,13264,39.7754463,-106.3503379,,,,
38,Old Baldy,11804,39.7587205,-106.0189591,,,,
39,Ute Peak,12234,39.7855162,-106.0771446,,,,
40,Bald Mountain,12090,39.6782633,-106.3298245,,,,
41,Red Peak,13097,39.6364843,-106.1710179,,,,
42,Keller Mountain,12963,39.690062,-106.23149,,,,
43,Ptarmigan Peak,12461,39.6910116,-106.026376,,,,
44,Red Table Mountain,12011,39.4181405,-106.771035,,,,
45,Grouse Mountain,12759,39.5173865,-106.5087177,,,,
46,Shrine Mountain,11847,39.5350427,-106.2595673,,,,
47,Uneva Peak,12441,39.5570533,-106.195996,,,,
48,Buffalo Mountain,12657,39.6167293,-106.1427478,,,,
49,Tenmile Peak,12769,39.5359624,-106.1210577,,,,
50,Peak Three,12470,39.5284791,-106.1199465,,,,
51,Peak Four,12799,39.5216433,-106.1212913,,,,
52,Peak Five,12835,39.5146197,-106.1164414,,,,
53,Peak One,12707,39.5430027,-106.1199036,,,,
54,Little Cone,11880,37.9275883,-108.0910025,,,,
55,Groundhog Mountain,12014,37.8348683,-108.2173494,,,,
56,Dunn Peak,12530,37.8471654,-108.1256414,,,,
57,Dolores Peak,13136,37.8402652,-108.0963662,,,,
58,El Diente Peak,13898,37.8394323,-108.0053368,,,,
59,Johnny Bull Mountain,11946,37.7195162,-108.0902786,,,,
60,Calico Peak,11870,37.7102665,-108.0901703,,,,
61,Eagle Peak,11991,37.7061907,-108.1018589,,,,
62,Papoose Peak,11850,37.7436845,-108.060511,,,,
63,Elliott Mountain,12254,37.7343143,-108.057968,,,,
64,Sockrider Peak,12201,37.7253915,-108.0660466,,,,
65,Telescope Mountain,12119,37.7165201,-108.0060442,,,,
66,Storm Peak,11978,37.6870012,-108.0878205,,,,
67,Anchor Mountain,12254,37.6963777,-108.0808972,,,,
68,Expectation Mountain,12024,37.6941557,-108.0684826,,,,
69,Dolores Mountain,11982,37.6833228,-108.0058943,,,,
70,North Rawah Peak,12382,40.676247,-105.9668191,,,,
71,South Rawah Peak,12615,40.6591238,-105.9557293,,,,
72,Clark Peak,12927,40.6066574,-105.9299169,,,,
73,Iron Mountain,12123,40.5068229,-105.8522458,,,,
74,Fall Mountain,12080,40.5284082,-105.661446,,,,
75,Comanche Peak,12641,40.5481465,-105.6768315,,,,
76,Skull Point,12070,40.5137835,-105.6312326,,,,
77,Stormy Peaks,12073,40.5197481,-105.5867196,,,,
78,Sugarloaf Mountain,12175,40.5166432,-105.6172133,,,,
79,Farview Mountain,12182,40.3778206,-105.9472695,,,,
80,Parika Peak,12306,40.385059,-105.9466495,,,,
81,Mount Cindy,12018,40.4182776,-105.9403246,,,,
82,Static Peak,12267,40.476578,-105.8917338,,,,
83,Mount Richthofen,12769,40.46947,-105.8943163,,,,
84,Tepee Mountain,12224,40.4634732,-105.8983352,,,,
85,Lead Mountain,12385,40.4486043,-105.8970537,,,,
86,Mount Cirrus,12710,40.4346827,-105.9019049,,,,
87,Howard Mountain,12743,40.4270521,-105.8988921,,,,
88,Mount Cumulus,12677,40.4103366,-105.9022687,,,,
89,Mount Stratus,12392,40.3902062,-105.903529,,,,
90,Mount Nimbus,12612,40.3967585,-105.9040416,,,,
91,Green Knoll,12215,40.3861212,-105.8967977,,,,
92,Lulu Mountain,12119,40.4801235,-105.8625004,,,,
93,Thunder Mountain,11998,40.486202,-105.8548951,,,,
94,Mount Dunraven,12536,40.4890456,-105.6080035,,,,
95,Sundance Mountain,12438,40.4083108,-105.7105512,,,,
