peak_name,elevation_ft,summit_lat,summit_lon,trailhead_name,trailhead_lat,trailhead_lon
Wulsten Baldy,12766,38.2458876,-105.7390608,,,
Flattop Mountain,12106,40.8046876,-106.6353691,,,
Mount Zirkel,12011,40.831234,-106.6632231,,,
Big Agnes Mountain,11857,40.8302381,-106.6924559,,,
Lost Ranger Peak,11890,40.6904091,-106.6723388,,,
Mount Ethel,11900,40.6480401,-106.6801592,,,
Parkview Mountain,12195,40.3301241,-106.1361882,,,
Lost Lakes Peaks,11860,40.0514809,-107.2261661,,,
Orno Peak,12047,40.0821992,-107.0969209,,,
Flat Top Mountain,12320,40.0146181,-107.0832447,,,
Big Marvine Peak,11841,39.9503698,-107.3406858,,,
W Mountain,11883,39.8741445,-107.1372631,,,
Dome Peak,12162,39.9896686,-107.0488232,,,
Mount Sopris,12923,39.2630494,-107.1758228,,,
Capitol Peak,14138,39.1501588,-107.0827488,,,
Clark Peak,13435,39.1522363,-107.0611245,,,
Mount Daly,13182,39.1721027,-107.0686259,,,
Haystack Mountain,12182,39.1940517,-107.0654629,,,
Chair Mountain,12602,39.0579044,-107.2820262,,,
Ragged Peak,12484,39.036516,-107.2817257,,,
Mount Daly,12333,39.1033521,-107.1502013,,,
Ragged Mountain,12018,39.0203445,-107.2355301,,,
Whitehouse Mountain,11834,39.0513717,-107.1542044,,,
Snowmass Peak,13389,39.1109983,-107.0559489,,,
Hagerman Peak,13665,39.1118211,-107.0600384,,,
Snowmass Mountain,14105,39.1186541,-107.0664035,,,
Mount Richey,12349,39.1174648,-107.1210184,,,
Meadow Mountain,12694,39.1000652,-107.1009143,,,
Arkansas Mountain,11804,39.0844046,-107.1114044,,,
Bear Mountain,12162,39.0350779,-107.1116392,,,
Treasury Mountain,13107,39.0142783,-107.0989662,,,
Crystal Peak,12477,39.0358445,-107.087899,,,
Galena Mountain,12480,39.0224949,-107.0764896,,,
Mount Bellview,12441,39.0161286,-107.0165305,,,
Dora Mountain,12254,39.7833139,-106.3023046,,,
Mount Powell,13481,39.7599022,-106.3406507,,,
Eagles Nest,13264,39.7754463,-106.3503379,,,
Old Baldy,11804,39.7587205,-106.0189591,,,
Ute Peak,12234,39.7855162,-106.0771446,,,
Bald Mountain,12090,39.6782633,-106.3298245,,,
Red Peak,13097,39.6364843,-106.1710179,,,
Keller Mountain,12963,39.690062,-106.23149,,,
Ptarmigan Peak,12461,39.6910116,-106.026376,,,
Red Table Mountain,12011,39.4181405,-106.771035,,,
Grouse Mountain,12759,39.5173865,-106.5087177,,,
Shrine Mountain,11847,39.5350427,-106.2595673,,,
Uneva Peak,12441,39.5570533,-106.195996,,,
Buffalo Mountain,12657,39.6167293,-106.1427478,,,
Tenmile Peak,12769,39.5359624,-106.1210577,,,
Peak Three,12470,39.5284791,-106.1199465,,,
Peak Four,12799,39.5216433,-106.1212913,,,
Peak Five,12835,39.5146197,-106.1164414,,,
Peak One,12707,39.5430027,-106.1199036,,,
Little Cone,11880,37.9275883,-108.0910025,,,
Groundhog Mountain,12014,37.8348683,-108.2173494,,,
Dunn Peak,12530,37.8471654,-108.1256414,,,
Dolores Peak,13136,37.8402652,-108.0963662,,,
El Diente Peak,13898,37.8394323,-108.0053368,,,
Johnny Bull Mountain,11946,37.7195162,-108.0902786,,,
Calico Peak,11870,37.7102665,-108.0901703,,,
Eagle Peak,11991,37.7061907,-108.1018589,,,
Papoose Peak,11850,37.7436845,-108.060511,,,
Elliott Mountain,12254,37.7343143,-108.057968,,,
Sockrider Peak,12201,37.7253915,-108.0660466,,,
Telescope Mountain,12119,37.7165201,-108.0060442,,,
Storm Peak,11978,37.6870012,-108.0878205,,,
Anchor Mountain,12254,37.6963777,-108.0808972,,,
Expectation Mountain,12024,37.6941557,-108.0684826,,,
Dolores Mountain,11982,37.6833228,-108.0058943,,,
North Rawah Peak,12382,40.676247,-105.9668191,,,
South Rawah Peak,12615,40.6591238,-105.9557293,,,
Clark Peak,12927,40.6066574,-105.9299169,,,
Iron Mountain,12123,40.5068229,-105.8522458,,,
Fall Mountain,12080,40.5284082,-105.661446,,,
Comanche Peak,12641,40.5481465,-105.6768315,,,
Skull Point,12070,40.5137835,-105.6312326,,,
Stormy Peaks,12073,40.5197481,-105.5867196,,,
Sugarloaf Mountain,12175,40.5166432,-105.6172133,,,
Farview Mountain,12182,40.3778206,-105.9472695,,,
Parika Peak,12306,40.385059,-105.9466495,,,
Mount Cindy,12018,40.4182776,-105.9403246,,,
Static Peak,12267,40.476578,-105.8917338,,,
