"local_id","local_name","local_seasonal","local_mvum_symbol","local_passenger_vehicle","local_high_clearance_vehicle","source_match_status","source_match_count","source_names","source_seasonal","source_mvum_symbols","source_passenger_dates_open","source_high_clearance_dates_open","source_motorcycle_dates_open","source_milepost_ranges","date_comparison","source_url"
"401","LA GUNITA PARKING","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","1","LA GUNITA PARKING","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14","05/16-03/14","01/01-12/31","0-0.04","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"402","LOBO OVERLOOK","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","LOBO OVERLOOK","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14","05/16-03/14","05/16-03/14","2.9877-3.01; 0-2.9477","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"610","ALDER","seasonal","Special Designation, Seasonal","open","","matched_by_id_season_symbol","3","ALDER","seasonal","Special Designation, Seasonal","05/16-03/14","","","10.631-20.45","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"529","RIO GRANDE CG","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","1","RIO GRANDE CG","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14","05/16-03/14","01/01-12/31","0-0.85","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"601","BLUE PARK","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","BLUE PARK","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14; 01/01-12/31","01/01-03/14,05/16-12/31; 05/16-03/14","01/01-12/31","0-2.065; 2.065-3.49","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"614","BEAR","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","BEAR","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31","05/16-03/14","05/16-03/14","0-0.43; 0.43-4.38","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"600","POOL TABLE","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","POOL TABLE","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31; 05/16-03/14","05/16-03/14; 01/01-03/14,05/16-12/31","05/16-03/14","9.8-23.6; 0.4441-9.8","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"610","ALDER","seasonal","Special Designation, Seasonal","open","","matched_by_id_season_symbol","3","ALDER","seasonal","Special Designation, Seasonal","05/16-03/14","","","10.631-20.45","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"430","LAKE FORK","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","LAKE FORK","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14","05/16-03/14","05/16-03/14","0-12.6403; 12.6403-17.0302","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"600","POOL TABLE","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","POOL TABLE","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31; 05/16-03/14","05/16-03/14; 01/01-03/14,05/16-12/31","05/16-03/14","9.8-23.6; 0.4441-9.8","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
